,sentence,sentence ID,paragraphID
67,Water from precipitation fall in the area.,3,22
68,the water form a stream.,4,22
69,the stream flow towards lower elevation.,5,22
70,the stream become a river.,6,22
71,the river continue to flow along the same path for a long time.,7,22
72,the river erode the rocky area that it touch.,8,22
73,the erode area cut deeply into the rock.,9,22
74,limestone be locate under the soil.,1,31
75,rain pick up carbon dioxide a it fall to earth.,2,31
76,the rain fall on the soil over the limestone.,3,31
77,the carbon dioxide in the rain wash through the soil.,4,31
78,the carbon dioxide turn into acid.,5,31
79,the acid in the rain get to the limestone below the soil.,6,31
80,the acid dissolve the limestone.,7,31
81,Acid continue to erode the limestone with more rain over time.,8,31
82,the erode limestone sometimes form cave.,9,31
83,volcano contain magma.,1,34
84,the magma be very hot.,2,34
85,the magma rise toward the surface of the volcano.,3,34
86,the magma cool.,4,34
87,the magma start to hard a it cool.,5,34
88,the magma be sometimes release from the volcano a lava.,6,34
89,the magma or lava become a hard rock a it solidify.,7,34
90,different kind of rock melt into magma.,1,35
91,Magma cool in the crust.,2,35
92,Magma go to the surface and become lava.,3,35
93,lava cool.,4,35
94,cool magma and lava become igneous rock.,5,35
95,Magma rise to the surface during a volcano.,1,36
96,the magma undergo change in temperature.,2,36
97,the magma undergo change in pressure.,3,36
98,the magma cool.,4,36
99,the magma solidify.,5,36
100,the magma crystallize.,6,36
101,igneous rock be form.,7,36
102,a plant of animal die in a watery environment.,1,37
103,be bury in mud and silt.,2,37
104,Soft tissue quickly decompose leave behind hard bone or shell.,3,37
105,over time sediment build over the top and harden into rock.,4,37
106,a the bone decay mineral seep in replace it.,5,37
107,fossil be form.,6,37
108,the animal die and the body fall down.,1,38
109,it be not eat by anything.,2,38
110,the body fall in a sandy or wet place.,3,38
111,the soil form around the body.,4,38
112,time pas on and the rock form.,5,38
113,million year later the fossil form.,6,38
114,a person now find the fossil.,7,38
115,the earth develop crack deep beneath the surface.,1,41
116,the crack get very long and big in some place.,2,41
117,the earth place pressure against the rock on both side of the crack.,3,41
118,the pressure cause the rock to press against each other very hard.,4,41
119,the crack continue to develop.,5,41
120,the earth move against itself on both side of the crack.,6,41
121,the pressure and movement around the crack cause the rock to crumble in some place.,7,41
122,a lot of energy be release.,8,41
123,the energy cause seismic wafe.,9,41
124,the seismic wafe move the earth in a earthquake.,10,41
125,"ocean, lake, and river contain water.",1,43
126,the sun heat up the water.,2,43
127,the water evaporate from the heat.,3,43
128,the water move to the sky a steam or a invisible vapor.,4,43
129,the water form cloud in the sky.,5,43
130,the cloud become larger a they be fill with more water.,6,43
131,the air be cool.,7,43
132,Water form droplet in the cloud.,8,43
133,the droplet fall to earth a rain.,9,43
134,Water evaporate from the ground up to the sky.,1,45
135,Water droplet be in cloud.,2,45
136,droplet combine to form bigger drop in the cloud.,3,45
137,the drop get heavy.,4,45
138,gravity make the drop fall.,5,45
139,pressure push up from inside the volcano.,1,48
140,lava come out of the volcano.,2,48
141,ash cloud and rock also come out of some volcano.,3,48
142,the thing that come out of the volcano cause disturbance in the environment.,4,48
143,the eruption last for a long time for some eruption.,5,48
144,the volcano lose the build up pressure.,6,48
145,the lava and other debris stop come out of the volcano.,7,48
146,mudslide and ash cloud cause problem after some eruption.,8,48
147,Magma come up to the surface of the earth.,1,50
148,the magma cool.,2,50
149,particle inside the magma move closer together.,3,50
150,crystal be form.,4,50
151,the crystal contain mineral.,5,50
152,Magma move closer to the Earth 's crust.,1,51
153,the magma start to cool.,2,51
154,the cooling cause atom in the magma to condense.,3,51
155,the condense magma solidify.,4,51
156,the solidify magma form mineral.,5,51
157,fault line appear underground.,1,52
158,the fault line grow over time.,2,52
159,the rock on each side of the fault line rub against the rock on the other side of the fault line.,3,52
160,the rock put pressure on each other.,4,52
161,the rock break from the pressure.,5,52
162,the breaking of the rock release a lot of energy.,6,52
163,the energy cause seismic wafe.,7,52
164,the seismic wafe make the earth shake.,8,52
165,the air be cold.,1,56
166,Water be in the air.,2,56
167,the water form tiny ice crystal.,3,56
168,the ice crystal collide with each other.,4,56
169,the ice crystal stick to each other.,5,56
170,the ice crystal get bigger a more of they stick together.,6,56
171,the ice crystal get too heavy to be in the air.,7,56
172,the ice crystal become snowflake.,8,56
173,the snow flake fall to the ground a snow.,9,56
174,Water evaporate from the ground up to the sky.,1,57
175,Water droplet be in cloud.,2,57
176,the air get cold.,3,57
177,Water droplet turn into ice crystal.,4,57
178,ice crystal in cloud stick together and become snowflake.,5,57
179,there be a lot of rain or a dam break.,1,58
180,Water level of a river or lake get higher.,2,58
181,Water build up on the ground.,3,58
182,Water cover street.,4,58
183,Water get deep in some place.,5,58
184,Water go into house and other building.,6,58
185,the rain stop or the dam be repair.,7,58
186,Water flow into stream.,8,58
187,the rest of the floodwater evaporate.,9,58
188,mineral fill space between bit of sediment.,1,61
189,the sediment become glue together.,2,61
190,the glue together part become hard like cement.,3,61
191,the sediment become a big rock.,4,61
192,the rock erode slowly.,5,61
193,the rock come apart.,6,61
194,the rock become smaller rock.,7,61
195,the rock continue to erode into smaller rock.,8,61
196,the process start again.,9,61
197,a area be at a higher elevation than the surround area.,1,64
198,Rain fall.,2,64
199,Water be in the area of high elevation.,3,64
200,the water create a stream.,4,64
201,the stream move towards lower elevation.,5,64
202,the stream continue along the same path for a long time.,6,64
203,the soil and rock erode where the stream touch they.,7,64
204,the stream move deeper into the soil.,8,64
205,the stream be smaller than the erode area.,9,64
206,plant die.,1,67
207,the dead plant end up in swamp.,2,67
208,the dead plant sink to the bottom of the swamp.,3,67
209,many more dead plant sink in the same area.,4,67
210,the dead plant join together form peat.,5,67
211,sediment cover the peat.,6,67
212,the peat continue to decompose.,7,67
213,the peat keep carbon while eliminate other element.,8,67
214,the peat turn into coal after a long time.,9,67
215,300 million year ago plant and tree die.,1,68
216,"the plant and tree remains sank to the bottom of steamy, swampy area.",2,68
217,layer upon layer of remains accumulate.,3,68
218,"eventually form a soggy, dense material call peat.",4,68
219,"the peat be bury over million of year by sand, clay, and other mineral material.",5,68
220,pressure cause by the wait of the material squeeze water from the peat.,6,68
221,with the heat cause by increase burial peat slowly become coal.,7,68
222,plant and tree die.,1,69
223,dead plant and tree pile up at the bottom of swamp.,2,69
224,dead plant and tree form layer call peat.,3,69
225,Sand and clay cover the peat.,4,69
226,the sand and clay form sedimentary rock.,5,69
227,pressure cause by sedimentary rock squeeze water out of the peat.,6,69
228,heat change the material into coal.,7,69
229,there be a lot of rain.,1,70
230,Water level of a river or lake get higher.,2,70
231,Water build up on the ground.,3,70
232,Water cover street.,4,70
233,Water go into house.,5,70
234,the rain or other source of water stop.,6,70
235,Water flow into stream.,7,70
236,the rest of the water evaporate.,8,70
237,wind or water break small piece off of a rock.,1,76
238,the wind or water deposit tiny rock.,2,76
239,the rock become know a sediment.,3,76
240,the layer of sediment be press together by other layer of sediment on top.,4,76
241,mineral from the rock in the sediment dissolve.,5,76
242,mineral glue the sediment together into a single rock.,6,76
243,wind and water erode rock.,1,78
244,the wind and water pick up sediment that come off the rock.,2,78
245,"sediment be carry to a area by the wind, water, air, or ice.",3,78
246,sediment be deposit on the same spot many time.,4,78
247,the sediment pile on top of other sediment for a long time.,5,78
248,the sediment near the bottom be compress by the weight of newer sediment.,6,78
249,the sediment become sedimentary rock a it be push together by the heavy weight.,7,78
250,tectonic plate beneath the earth rub against each other.,1,80
251,the rock around the crack crumble.,2,80
252,a earth quake happen.,3,80
253,the force of the earthquake be large.,4,80
254,rock be push up out of the earth by the force.,5,80
255,these rock become volcano.,6,80
256,the volcano erupt many time.,7,80
257,the size of the rocky area grow.,8,80
258,the volcano become dormant.,9,80
259,the volcano and it eruption become a mountain.,10,80
260,rain cloud travel across the sky.,1,99
261,rain cloud be stop or slowed by mountain or wind.,2,99
262,the rain cloud drop the rain.,3,99
263,the cloud be no longer rain when or if they reach the other side of the obstacle.,4,99
264,"on the other side of the mountain or rain, there be not much rain.",5,99
265,the area that receive little rain develop a very different ecosystem.,6,99
266,the area that receive little rain become a desert.,7,99
267,carbon dioxide enter the leaf through the stomate.,1,112
268,Water be absorb by the plant and transport to the leave.,2,112
269,sunlight be capture by the plant.,3,112
270,energy in the form of ATP be make from the sun 's energy.,4,112
271,"carbon dioxide, water, and atp form sugar via the Calvin cycle.",5,112
272,oxygen be give off a a byproduct.,6,112
273,oxygen leave the leaf through the stomate.,7,112
274,Water be reuse or it leave the leaf.,8,112
275,the sugar can be use by the plant to make cellulose.,9,112
276,chloroplast in the leaf of the plant trap light from the sun.,1,113
277,the root absorb water and mineral from the soil.,2,113
278,this combination of water and mineral flow from the stem into the leaf.,3,113
279,carbon dioxide enter the leaf.,4,113
280,"light, water and mineral, and the carbon dioxide all mix together.",5,113
281,this mixture form sugar ( glucose ) which be what the plant eat.,6,113
282,oxygen go out of the leaf through the stoma.,7,113
283,tectonic plate smash together.,1,115
284,the edge of the plate crumple up.,2,115
285,the ridge be mountain range.,3,115
286,Magma be force to the surface.,4,115
287,Magma form a volcano.,5,115
288,movement of tectonic plate cause the creation of volcanoe.,1,116
289,these volcanoe erupt.,2,116
290,volcanic mountain be form from the eruption.,3,116
291,sometimes tectonic plate crash into one another or ride over one another.,4,116
292,"these plate sometimes fold and buckle, which form Fold Mountains.",5,116
293,"sometimes fault block be raise or tilt, and they form block Mountains.",6,116
294,"Water be expose to heat energy, like sunlight.",1,127
295,the water temperature be raise above 212 degree fahrenheit.,2,127
296,the heat break down the molecule in the water.,3,127
297,these molecule escape from the water.,4,127
298,the water become vapor.,5,127
299,the vapor evaporate into the atmosphere.,6,127
300,you breathe oxygen into you body through the nose or mouth.,1,132
301,the oxygen travel to the lung through the windpipe.,2,132
302,the air sac in the lung send the oxygen into the blood stream.,3,132
303,the carbon dioxide in the blood stream be transfer to the air sac.,4,132
304,the lung expel through the nose or mouth back into the environment.,5,132
305,bat 's fly through a area.,1,135
306,the bat make sound with they mouth or nose.,2,135
307,the sound wafe travel away from the bat.,3,135
308,the sound wafe hit object.,4,135
309,the sound wafe bounce off the object back towards the bat.,5,135
310,the bat hear the sound wafe echo off the object.,6,135
311,the bat know where the object be because of where the sound echo from.,7,135
312,the bat do not hurt itself by hit the object.,8,135
313,Air enter the nose or mouth and travel through the windpipe into the lung.,1,139
314,the lung have a series of smaller and finer tube and sac.,2,139
315,air reach the smallest and finest air sac call alveolus.,3,139
316,oxygen travel from the alveolus into the blood.,4,139
317,oxygen - rich blood be carry to the heart.,5,139
318,oxygen - rich blood be pump throughout the body by the heart.,6,139
319,cell take in the oxygen rich blood and release carbon dioxide rich blood.,7,139
320,the carbon dioxide rich blood travel to the lung.,8,139
321,carbon dioxide travel through the throat and be exhale.,9,139
322,a person breathe in oxygen.,1,140
323,the oxygen pas through the bronchial tube to the lung.,2,140
324,the oxygen be move into the bloodstream.,3,140
325,circulate through the body.,4,140
326,the cell in the body exchange the oxygen with carbon dioxide.,5,140
327,the bloodstream carry the carbon dioxide back to the lung.,6,140
328,the lung expel the carbon dioxide through the nose and mouth.,7,140
329,you inhale.,1,141
330,you diaphragm move down.,2,141
331,you lung have more room.,3,141
332,you lung fill with air.,4,141
333,you exhale.,5,141
334,you diaphragm move back up.,6,141
335,carbon dioxide be exhale.,7,141
336,you start the process over again.,8,141
337,Water vapor be in the atmosphere.,1,152
338,Water vapor be lift up.,2,152
339,lift vapor cool below dew point.,3,152
340,Vapor turn into a solid.,4,152
341,Cloud droplet aggregate into larger size.,5,152
342,Cloud droplet drop from the sky.,6,152
343,you place aluminum can and other product into recycling bin.,1,157
344,you town or a private company collect and transport the aluminum to a recycling facility.,2,157
345,the aluminum be sort and clean at the central recycling facility.,3,157
346,the aluminum be melt down to remove coating and ink.,4,157
347,the melt aluminum be form into large formation call ingot.,5,157
348,the ingot be transport to another facility and roll out to make they easier to manipulate.,6,157
349,the ingot can now be turn into new aluminum product.,7,157
350,put the aluminum can into a recycle bin.,1,158
351,the can be transport to a facility.,2,158
352,the can be shred by a machine.,3,158
353,the can be heat to 1400 degree to melt they.,4,158
354,the molten metal be pour into mold.,5,158
355,the mold be flatten and roll into sheet to reuse.,6,158
356,aluminium can be put into a recycling bin.,1,159
357,aluminium can be then collect and take to a treatment plant.,2,159
358,at the treatment plant the aluminium be sort and clean.,3,159
359,read for reprocessing.,4,159
360,the aluminum can go through a re-melt process.,5,159
361,turn into molten aluminium.,6,159
362,the molten aluminum be make into large block call ingot.,7,159
363,the ingot be send to mill and be roll out into thin sheet.,8,159
364,the roll be ready to be make into new aluminum product.,9,159
365,food leave the esophagus and enter the stomach.,1,165
366,the stomach churn the food.,2,165
367,with the aid of stomach acid.,3,165
368,the food become a thick liquid.,4,165
369,be then pas to the small intestine.,5,165
370,bread be expose to the element.,1,186
371,bread absorb water from the air.,2,186
372,bread absorb warmth from the air.,3,186
373,dust particle with mold spore fall on bread.,4,186
374,mold spore start to consume the bread for energy.,5,186
375,mold colony grow until they be visible.,6,186
376,muscle work by expand and contracting.,1,206
377,a muscle fiber get a signal from it nerve.,2,206
378,protein and chemical release energy to either contract the muscle or relax it.,3,206
379,when the muscle contract the bone connect to he muscle be pull closer together.,4,206
380,when the muscle relax the bone move farther apart.,5,206
381,electrical signal in the brain travel through nerve to muscle.,1,207
382,two type of protein exist in filament in the muscle.,2,207
383,the filament move when the brain instruct they to.,3,207
384,the motion of the filament cause the muscle to shorten and contract.,4,207
385,oppose pair of muscle exist in order to provide the necessary range of motion.,5,207
386,Water droplet in cloud collide.,1,211
387,become bigger drop.,2,211
388,ice particle also grow in cloud.,3,211
389,drop and ice particle get heavier.,4,211
390,drop fall to the ground.,5,211
391,ice particle fall from the cloud.,6,211
392,ice particle fall through warmer air and melt.,7,211
393,Ice reach the ground a rain drop.,8,211
394,Water evaporate because of the sun.,1,212
395,Water vapor rise into the air a it evaporate.,2,212
396,Water vapor form cloud a it mix with dust and impurity.,3,212
397,cloud become heavier and larger over time.,4,212
398,cloud eventually become too heavy to stay in the sky.,5,212
399,some water vapor exit cloud a rain.,6,212
400,animal pull a fruit off a plant or pick a fruit up from the ground.,1,214
401,animal eat the fruit.,2,214
402,animal drop some seed onto the ground.,3,214
403,animal eat some seed.,4,214
404,the seed be in the animal 's waste.,5,214
405,the waste go onto the ground.,6,214
406,there be seed on the ground in different area away from the plant.,7,214
407,warm air rise.,1,221
408,then it expand and cool.,2,221
409,some of the vapor condense onto tiny piece of dust that be float in the air.,3,221
410,form a tiny droplet around each dust particle.,4,221
411,billion of these droplet come together they become a visible cloud.,5,221
412,air rise.,1,222
413,rising air cool.,2,222
414,Water vapor form.,3,222
415,Water vapor condense.,4,222
416,cloud form.,5,222
417,electricity from the battery make the machine needle move.,1,225
418,a needle with thread go down from the machine.,2,225
419,go through a piece of cloth.,3,225
420,a hook rotate underneath.,4,225
421,the hook capture the thread.,5,225
422,the hook loop the thread around another thread.,6,225
423,two thread interlock around the fabric.,7,225
424,a dam be build in a area prone to flooding.,1,229
425,a large amount of rain occur.,2,229
426,the water build up behind the dam.,3,229
427,the dam open it floodgate when it start to get full.,4,229
428,the water flow into a river below the dam.,5,229
429,the dam close it gate.,6,229
430,the dam will occasionally open it gate again to gradually release more water.,7,229
431,eventually all of the floodwater will be slowly release into the river without cause any flood damage.,8,229
432,bat and other animal produce a high - pitch tone.,1,232
433,"the sound travel in wafe, a sound do.",2,232
434,"the sound "" bounce "" off of a nearby object.",3,232
435,the sound wave return to the bat.,4,232
436,the bat hear the echo sound.,5,232
437,"fold in the bat 's ear and adaptation in the bat 's brain enable it to determine the size, shape, and position of the other object via the property of the return sound wafe.",6,232
438,other animal use echolocation in generally similar way.,7,232
439,Chemical reaction break down the bond hold the rock together.,1,249
440,the rock fall apart.,2,249
441,they form smaller and smaller piece.,3,249
442,oxidation take place when oxygen combine with other element in rock.,4,249
443,they form new type of rock.,5,249
444,the new substance be softer.,6,249
445,carbonation take place when carbon dioxide reaction with certain type of rock.,7,249
446,a solution be form that can easily be carry away by water.,8,249
447,the grow season start.,1,251
448,bark grow on a tree.,2,251
449,the inside of the tree grow.,3,251
450,the bark be push out around the tree trunk.,4,251
451,the bark leave a ring.,5,251
452,the grow season slow down and end.,6,251
453,the inner portion of the ring be form during rapid spring growth.,1,252
454,the tree 's growth slow a the season change.,2,252
455,the ring 's outer growth be more dense.,3,252
456,the growth of the tree push out the bark of the tree.,4,252
457,the tree stop grow quickly in the winter.,5,252
458,"this seasonal "" pause "" in growth result in distinct ring in certain tree type.",6,252
459,"plant make the seed smell good, be attractive look, and taste good.",1,253
460,animal be attract to the seed on the plant.,2,253
461,the animal eat the seed.,3,253
462,the animal go far away from the plant.,4,253
463,the animal defecate the seed or drop they off they fur.,5,253
464,the seed grow in the new place.,6,253
465,plant produce seedling.,1,254
466,the animal pas by the plant.,2,254
467,eat from the plant or brush the plant with the animal 's fur.,3,254
468,the seed be eat by the animal or become attach to the fur.,4,254
469,the seed be digest by the animal and excrete into a new area.,5,254
470,the seed attach to the animal 's fur fall off into a new area.,6,254
471,you breathe in through you nose or mouth.,1,256
472,the air travel through you windpipe.,2,256
473,into you lung.,3,256
474,inside you lung be tiny air sac.,4,256
475,the air sac transfer the oxygen into you blood.,5,256
476,the oxygen travel through you blood stream.,6,256
477,the carbon dioxide from you blood stream be transfer to you air sac.,7,256
478,you breathe out and expel the carbon dioxide from you lung.,8,256
479,you inhale air through you nose and mouth.,1,257
480,the air travel down into you lung.,2,257
481,oxygen from the air go into you bloodstream.,3,257
482,oxygen circulate throughout the body due to the heart 's pump.,4,257
483,carbon dioxide travel from the blood into the lung.,5,257
484,carbon dioxide travel from the lung up the windpipe.,6,257
485,carbon dioxide be exhale.,7,257
486,people separate different material to be recycle.,1,263
487,the recyclable material go to a recycling center.,2,263
488,the recycling center further separate the material.,3,263
489,large equipment compact the material into bale.,4,263
490,the recyclable material be ship to other recycling center.,5,263
491,the other recycling center further process the material that center specialize in.,6,263
492,the material be purchase by manufacturer.,7,263
493,the manufacturer process the recycle material the same way they would use new material.,8,263
494,the recycle material be incorporate into new product.,9,263
495,item be collect.,1,264
496,the item be sort.,2,264
497,trash be remove from everything else.,3,264
498,go to a landfill.,4,264
499,the item go into a baler machine for each kind of material.,5,264
500,they come out a bale.,6,264
501,the bale be ship to manufacturer to use to make product.,7,264
502,a fuel go into the generator.,1,272
503,the generator convert mechanical energy into electrical energy.,2,272
504,a magnet move near a wire.,3,272
505,a steady flow of electron be create.,4,272
506,electricity flow through a wire.,5,272
507,electricity come out of the generator.,6,272
508,wire be wrap around a piece of metal.,1,280
509,current be send through the wire.,2,280
510,a magnetic field be produce by the current.,3,280
511,this magnetic field in the wire interact with certain particle in the central metal part.,4,280
512,the piece of metal become magnetize.,5,280
513,the magnetism remain until the current be shut off.,6,280
514,put water in a ice cube tray.,1,286
515,put the ice cube tray in the freezer.,2,286
516,wait 5 to 6 hour.,3,286
517,take the ice cube tray out of the freezer.,4,286
518,Bend the tray slightly to get the ice cube out and into a drink.,5,286
519,get the ice tray.,1,287
520,remove any ice cube currently in the tray.,2,287
521,fill the tray with cold water.,3,287
522,ensure the tray be evenly fill to a appropriate level.,4,287
523,open the freezer.,5,287
524,place the tray in the freezer.,6,287
525,close the freezer door.,7,287
526,wait.,8,287
527,pollution enter natural water source such a river and lake.,1,290
528,the pollution negatively affect the water quality.,2,290
529,the pollution negatively affect the health of plant and animal.,3,290
530,"the plant and animal have shorter, le healthy life.",4,290
531,the plant and animal do not reproduce very well.,5,290
532,the number of plant and animal decrease over time.,6,290
533,the quality of water get worse and worse a there be no plant or animal to clean it.,7,290
534,eventually there be nothing live in the water and it be unusable.,8,290
535,cell obtain glucose and oxygen.,1,293
536,the glucose and oxygen create carbon dioxide.,2,293
537,the cell release energy.,3,293
538,the cell do not have enough oxygen to repeat this.,4,293
539,the cell obtain more oxygen from the air.,5,293
540,the cell repeat this process.,6,293
541,a person take in oxygen through they nose or mouth.,1,294
542,the oxygen travel into the body.,2,294
543,break down into glucose.,3,294
544,carbon dioxide be produce by the glucose breakdown.,4,294
545,the carbon dioxide be exhale out of the body through the nose or mouth.,5,294
546,someone be infect with bacteria.,1,298
547,that bacteria begin to grow and reproduce inside the cell.,2,298
548,the divide bacteria begin to make toxin.,3,298
549,those toxin damage you cell.,4,298
550,Disease symptom may begin.,5,298
551,bacteria enter the body.,1,300
552,bacteria start to divide and grow.,2,300
553,the uncontrolled growth take away resource from other cell.,3,300
554,other cell can not function properly.,4,300
555,we feel unwell.,5,300
556,the growth and division of bacteria produce toxin.,6,300
557,toxin harm the body.,7,300
558,the body try to react to the toxin.,8,300
559,the body 's natural defense can sometimes cause we to feel unwell.,9,300
560,place you non dominate foot on the front of the skateboard.,1,301
561,push off with you other foot on the ground.,2,301
562,keep push with you dominate leg.,3,301
563,when comfortable put both foot on the skateboard.,4,301
564,Balance you body a you roll on the skateboard.,5,301
565,Blood enter the right side of you heart.,1,310
566,Blood travel to the lung.,2,310
567,carbon dioxide be remove from the blood.,3,310
568,oxygen be add to you blood.,4,310
569,Blood return to leave side of you heart.,5,310
570,the blood travel through the body.,6,310
571,particle in the environment interact with rock.,1,313
572,the particle remove small piece of the rock each time they touch the rock.,2,313
573,"the particle continue to hit, brush against, or grow against the rock.",3,313
574,the rock eventually be break apart by this contact.,4,313
575,the piece of the rock be now small rock.,5,313
576,the rock piece be wear away into smaller and smaller piece by the same force.,6,313
577,plant start grow on or near the rock.,1,315
578,the root of the grow plant start to break up the rock.,2,315
579,the plant acid dissolve the rock.,3,315
580,the rock be break down into smaller piece.,4,315
581,erosion begin.,5,315
582,Rain fall on wood.,1,316
583,the rain seep into the wood surface.,2,316
584,it permeate the wood.,3,316
585,when rain evaporate it leave the wood.,4,316
586,it take the finish of the wood with it.,5,316
587,the wood begin to lose it be luster.,6,316
588,it begin to look bad.,7,316
589,it have piece of paint miss from the rain.,8,316
590,it get worse when it rain.,9,316
591,it eventually will have no paint leave.,10,316
592,Water seep into rock.,1,317
593,the water freeze and thaw.,2,317
594,crack form in the rock.,3,317
595,crack also form when rock heat up.,4,317
596,the rock slowly break down.,5,317
597,a plant grow near or on a rock.,1,318
598,the plant root begin to grow.,2,318
599,break apart the rock.,3,318
600,the plant acid dissolve part of the rock.,4,318
601,the rock be break into more and more piece.,5,318
602,erosion start to occur.,6,318
603,the planter must select a crop.,1,321
604,the soil be prepare properly for that specific crop.,2,321
605,fertilizer be add to the soil.,3,321
606,seed be plant in the field.,4,321
607,irrigation be set up to keep the crop properly water.,5,321
608,the crop grow.,6,321
609,the crop be harvest.,7,321
610,sunlight shine on plant.,1,330
611,cell with chlorophyll in they capture the light energy.,2,330
612,plant absorb carbon dioxide through they stoma.,3,330
613,plant absorb water through they root and other part of themselves.,4,330
614,plant absorb mineral through they root.,5,330
615,plant convert these input into sugar.,6,330
616,sugar can be use a energy source.,7,330
617,oxygen and water be also produce.,8,330
618,excess water and oxygen be release through stoma and other part of the plant.,9,330
619,something happen to produce a sound.,1,349
620,the sound travel in wafe.,2,349
621,the sound wafe hit a object.,3,349
622,the object absorb some of the sound wafe.,4,349
623,some of the sound wafe bounce off of the object.,5,349
624,"the reflect sound wafe can be hear, though they have slightly different property than the original sound.",6,349
625,the sound continue to bounce off of thing and produce echo until it be totally absorb or dissipate.,7,349
626,Acid rain flow through soil.,1,364
627,chemical from the acid rain kill plant and tree.,2,364
628,the acid rainwater flow into river and stream.,3,364
629,the chemical kill fish.,4,364
630,the chemical kill animal that drink the water.,5,364
631,Nitrogen build up.,6,364
632,Nitrogen destroy fish and shellfish population.,7,364
633,Acid rain make water acidic.,1,365
634,cause they to absorb aluminum from soil.,2,365
635,"the water run off from the soil into lake, stream, etc.",3,365
636,Fish and they egg die.,4,365
637,frog and plant die.,5,365
638,insect and other wildlife die.,6,365
639,"the ecosystem be out of balance, cause further problem.",7,365
640,Acid rain enter the atmosphere and land.,1,366
641,make water acidic.,2,366
642,kill fish.,3,366
643,kill the soil in tree.,4,366
644,leave be also harm.,5,366
645,plant obtain water through the soil they be grow in.,1,367
646,the plant root absorb the water from the soil.,2,367
647,Transport the water to the part of the plant where the water be need.,3,367
648,the plant use the water a part of the photosynthesis process.,4,367
649,"the plant create food, call glucose, for itself.",5,367
650,the plant use water to circulate the glucose around the plant to deliver the glucose to where it be need.,6,367
651,plant have root.,1,369
652,the root grow out.,2,369
653,root have fiber that be attach to they.,3,369
654,they attract water.,4,369
655,they suck up water.,5,369
656,they absorb the water.,6,369
657,electricity enter the computer.,1,375
658,some electricity become light.,2,375
659,some light become heat when it hit something.,3,375
660,"some electricity become motion in a hard drive, dvd drive or fan.",4,375
661,motion energy also become heat.,5,375
662,air travel into the body.,1,377
663,air reach the lung.,2,377
664,the lung absorb the oxygen from the air.,3,377
665,the oxygen be transport by hemoglobin.,4,377
666,Red blood cell be make of hemoglobin.,5,377
667,Blood have a lot of red blood cell.,6,377
