line_id,paragraphID,sentence ID,topic,prompt,sentence
6,15,6,water cycle,What happens during the water cycle?,The clouds become heavy from all the water.
6,15,7,water cycle,What happens during the water cycle?,The water falls back to earth as rain or snow from the clouds.
7,20,1,sediment,How is sediment transported across the Earth?,Sediment settles in a place due to gravity.
7,20,2,sediment,How is sediment transported across the Earth?,The sediment breaks down into small particles.
7,20,3,sediment,How is sediment transported across the Earth?,Wind or water picks up the sediment.
7,20,4,sediment,How is sediment transported across the Earth?,The sediment travels along the same route as the wind or water.
7,20,5,sediment,How is sediment transported across the Earth?,The sediment is deposited at new locations by the wind or water.
7,20,6,sediment,How is sediment transported across the Earth?,The sediment is picked up again by new wind or water.
7,20,7,sediment,How is sediment transported across the Earth?,The sediment travels further.
7,20,8,sediment,How is sediment transported across the Earth?,The sediment is deposited again in a new place.
8,22,1,valley,How are valleys formed?,A large rocky area is formed.
8,22,2,valley,How are valleys formed?,The rocky area has a higher elevation than the surrounding areas.
8,22,3,valley,How are valleys formed?,Water from precipitation falls in the area.
8,22,4,valley,How are valleys formed?,The water forms a stream.
8,22,5,valley,How are valleys formed?,The stream flows towards lower elevation.
8,22,6,valley,How are valleys formed?,The stream becomes a river.
8,22,7,valley,How are valleys formed?,The river continues to flow along the same path for a long time.
8,22,8,valley,How are valleys formed?,The river erodes the rocky area that it touches.
8,22,9,valley,How are valleys formed?,The eroded area cuts deeply into the rock.
9,31,1,cavern,How do caverns form?,Limestone is located under the soil.
9,31,2,cavern,How do caverns form?,Rain picks up carbon dioxide as it falls to earth.
9,31,3,cavern,How do caverns form?,The rain falls on the soil over the limestone.
9,31,4,cavern,How do caverns form?,The carbon dioxide in the rain washes through the soil.
9,31,5,cavern,How do caverns form?,The carbon dioxide turns into acid.
9,31,6,cavern,How do caverns form?,The acid in the rain gets to the limestone below the soil.
9,31,7,cavern,How do caverns form?,The acid dissolves the limestone.
9,31,8,cavern,How do caverns form?,Acid continues to erode the limestone with more rain over time.
9,31,9,cavern,How do caverns form?,The eroded limestone sometimes forms caves.
10,34,1,igneous rock,How does igneous rock form?,Volcanos contain magma.
10,34,2,igneous rock,How does igneous rock form?,The magma is very hot.
10,34,3,igneous rock,How does igneous rock form?,The magma rises toward the surface of the volcano.
10,34,4,igneous rock,How does igneous rock form?,The magma cools.
10,34,5,igneous rock,How does igneous rock form?,The magma starts to harden as it cools.
10,34,6,igneous rock,How does igneous rock form?,The magma is sometimes released from the volcano as lava.
10,34,7,igneous rock,How does igneous rock form?,The magma or lava becomes a hard rock as it solidifies.
11,35,1,igneous rock,How does igneous rock form?,Different kinds of rocks melt into magma.
11,35,2,igneous rock,How does igneous rock form?,Magma cools in the crust.
11,35,3,igneous rock,How does igneous rock form?,Magma goes to the surface and becomes lava.
11,35,4,igneous rock,How does igneous rock form?,Lava cools.
11,35,5,igneous rock,How does igneous rock form?,Cooled magma and lava become igneous rock.
12,36,1,igneous rock,How does igneous rock form?,Magma rises to the surface during a volcano.
12,36,2,igneous rock,How does igneous rock form?,The magma undergoes changes in temperature.
12,36,3,igneous rock,How does igneous rock form?,The magma undergoes changes in pressure.
12,36,4,igneous rock,How does igneous rock form?,The magma cools.
12,36,5,igneous rock,How does igneous rock form?,The magma solidifies.
12,36,6,igneous rock,How does igneous rock form?,The magma crystallizes.
12,36,7,igneous rock,How does igneous rock form?,Igneous rock is formed.
13,37,1,fossil,How are fossils formed?,A plant of animal dies in a watery environment.
13,37,2,fossil,How are fossils formed?,Is buried in mud and silt.
13,37,3,fossil,How are fossils formed?,Soft tissues quickly decompose leaving behind hard bones or shells.
13,37,4,fossil,How are fossils formed?,Over time sediment builds over the top and hardens into rock.
13,37,5,fossil,How are fossils formed?,As the bone decays mineral seeps in replacing it.
13,37,6,fossil,How are fossils formed?,Fossils are formed.
14,38,1,fossil,How are fossils formed?,The animal dies and the body falls down.
14,38,2,fossil,How are fossils formed?,It is not eaten by anything.
14,38,3,fossil,How are fossils formed?,The body falls in a sandy or wet place.
14,38,4,fossil,How are fossils formed?,The soil forms around the body.
14,38,5,fossil,How are fossils formed?,Time passes on and the rock forms.
14,38,6,fossil,How are fossils formed?,Millions years later the fossil forms.
14,38,7,fossil,How are fossils formed?,A person now finds the fossil.
15,41,1,earthquake,What causes an earthquake to occur?,The earth develops cracks deep beneath the surface.
15,41,2,earthquake,What causes an earthquake to occur?,The cracks get very long and big in some places.
15,41,3,earthquake,What causes an earthquake to occur?,The earth places pressure against the rocks on both sides of the cracks.
15,41,4,earthquake,What causes an earthquake to occur?,The pressure causes the rocks to press against each other very hard.
15,41,5,earthquake,What causes an earthquake to occur?,The cracks continue to develop.
15,41,6,earthquake,What causes an earthquake to occur?,The earth moves against itself on both sides of the cracks.
15,41,7,earthquake,What causes an earthquake to occur?,The pressure and movement around the cracks causes the rocks to crumble in some places.
15,41,8,earthquake,What causes an earthquake to occur?,A lot of energy is released.
15,41,9,earthquake,What causes an earthquake to occur?,The energy causes seismic waves.
15,41,10,earthquake,What causes an earthquake to occur?,The seismic waves move the earth in an earthquake.
16,43,1,rain,How does rain form?,"Oceans, lakes, and rivers contain water."
16,43,2,rain,How does rain form?,The sun heats up the water.
16,43,3,rain,How does rain form?,The water evaporates from the heat.
16,43,4,rain,How does rain form?,The water moves to the sky as steam or as invisible vapor.
16,43,5,rain,How does rain form?,The water forms clouds in the sky.
16,43,6,rain,How does rain form?,The clouds become larger as they are filled with more water.
16,43,7,rain,How does rain form?,The air is cooled.
16,43,8,rain,How does rain form?,Water forms droplets in the clouds.
16,43,9,rain,How does rain form?,The droplets fall to earth as rain.
17,45,1,rain,How does rain form?,Water evaporates from the ground up to the sky.
17,45,2,rain,How does rain form?,Water droplets are in clouds.
17,45,3,rain,How does rain form?,Droplets combine to form bigger drops in the clouds.
17,45,4,rain,How does rain form?,The drops get heavy.
17,45,5,rain,How does rain form?,Gravity makes the drops fall.
18,48,1,volcanic eruption,What happens during a vocanic eruption?,Pressure pushes up from inside the volcano.
18,48,2,volcanic eruption,What happens during a vocanic eruption?,Lava comes out of the volcano.
18,48,3,volcanic eruption,What happens during a vocanic eruption?,Ash clouds and rocks also come out of some volcanos.
18,48,4,volcanic eruption,What happens during a vocanic eruption?,The things that come out of the volcano cause disturbances in the environment.
18,48,5,volcanic eruption,What happens during a vocanic eruption?,The eruption lasts for a long time for some eruptions.
18,48,6,volcanic eruption,What happens during a vocanic eruption?,The volcano loses the built up pressure.
18,48,7,volcanic eruption,What happens during a vocanic eruption?,The lava and other debris stop coming out of the volcano.
18,48,8,volcanic eruption,What happens during a vocanic eruption?,Mudslides and ash clouds cause problems after some eruptions.
19,50,1,mineral,How do minerals form?,Magma comes up to the surface of the earth.
19,50,2,mineral,How do minerals form?,The magma cools.
19,50,3,mineral,How do minerals form?,Particles inside the magma move closer together.
19,50,4,mineral,How do minerals form?,Crystals are formed.
19,50,5,mineral,How do minerals form?,The crystals contain minerals.
20,51,1,mineral,How do minerals form?,Magma moves closer to the Earth's crust.
20,51,2,mineral,How do minerals form?,The magma starts to cool.
20,51,3,mineral,How do minerals form?,The cooling causes atoms in the magma to condense.
20,51,4,mineral,How do minerals form?,The condensed magma solidifies.
20,51,5,mineral,How do minerals form?,The solidified magma forms minerals.
21,52,1,earthquake,How do earthquakes occur?,Fault lines appear underground.
21,52,2,earthquake,How do earthquakes occur?,The fault lines grow over time.
21,52,3,earthquake,How do earthquakes occur?,The rocks on each side of the fault lines rub against the rocks on the other side of the fault line.
21,52,4,earthquake,How do earthquakes occur?,The rocks put pressure on each other.
21,52,5,earthquake,How do earthquakes occur?,The rocks break from the pressure.
21,52,6,earthquake,How do earthquakes occur?,The breaking of the rocks releases a lot of energy.
21,52,7,earthquake,How do earthquakes occur?,The energy causes seismic waves.
21,52,8,earthquake,How do earthquakes occur?,The seismic waves make the earth shake.
22,56,1,snow,How does snow form?,The air is cold.
22,56,2,snow,How does snow form?,Water is in the air.
22,56,3,snow,How does snow form?,The water forms tiny ice crystals.
22,56,4,snow,How does snow form?,The ice crystals collide with each other.
22,56,5,snow,How does snow form?,The ice crystals stick to each other.
22,56,6,snow,How does snow form?,The ice crystals get bigger as more of them stick together.
22,56,7,snow,How does snow form?,The ice crystals get too heavy to be in the air.
22,56,8,snow,How does snow form?,The ice crystals become snowflakes.
22,56,9,snow,How does snow form?,The snow flakes fall to the ground as snow.
23,57,1,snow,How does snow form?,Water evaporates from the ground up to the sky.
23,57,2,snow,How does snow form?,Water droplets are in clouds.
23,57,3,snow,How does snow form?,The air gets cold.
23,57,4,snow,How does snow form?,Water droplets turn into ice crystals.
23,57,5,snow,How does snow form?,Ice crystals in clouds stick together and become snowflakes.
24,58,1,flood,How do floods happen?,There is a lot of rain or a dam breaks.
24,58,2,flood,How do floods happen?,Water levels of a river or lake get higher.
24,58,3,flood,How do floods happen?,Water builds up on the ground.
24,58,4,flood,How do floods happen?,Water covers streets.
24,58,5,flood,How do floods happen?,Water gets deep in some places.
24,58,6,flood,How do floods happen?,Water goes into houses and other buildings.
24,58,7,flood,How do floods happen?,The rain stops or the dam is repaired.
24,58,8,flood,How do floods happen?,Water flows into streams.
24,58,9,flood,How do floods happen?,The rest of the floodwater evaporates.
25,61,1,sedimentary rock,How does sediment turn into sedimentary rock?,Minerals fill spaces between bits of sediment.
25,61,2,sedimentary rock,How does sediment turn into sedimentary rock?,The sediments become glued together.
25,61,3,sedimentary rock,How does sediment turn into sedimentary rock?,The glued together parts become hard like cement.
25,61,4,sedimentary rock,How does sediment turn into sedimentary rock?,The sediment becomes a big rock.
25,61,5,sedimentary rock,How does sediment turn into sedimentary rock?,The rocks erode slowly.
25,61,6,sedimentary rock,How does sediment turn into sedimentary rock?,The rocks come apart.
25,61,7,sedimentary rock,How does sediment turn into sedimentary rock?,The rocks become smaller rocks.
25,61,8,sedimentary rock,How does sediment turn into sedimentary rock?,The rocks continue to erode into smaller rocks.
25,61,9,sedimentary rock,How does sediment turn into sedimentary rock?,The process starts again.
26,64,1,ravine,How are ravines formed?,An area is at a higher elevation than the surrounding area.
26,64,2,ravine,How are ravines formed?,Rain falls.
26,64,3,ravine,How are ravines formed?,Water is in the area of high elevation.
26,64,4,ravine,How are ravines formed?,The water creates a stream.
26,64,5,ravine,How are ravines formed?,The stream moves towards lower elevation.
26,64,6,ravine,How are ravines formed?,The stream continues along the same path for a long time.
26,64,7,ravine,How are ravines formed?,The soil and rocks erode where the stream touches them.
26,64,8,ravine,How are ravines formed?,The stream moves deeper into the soil.
26,64,9,ravine,How are ravines formed?,The stream is smaller than the eroded area.
27,67,1,coal,How does coal form?,Plants die.
27,67,2,coal,How does coal form?,The dead plants end up in swamps.
27,67,3,coal,How does coal form?,The dead plants sink to the bottom of the swamps.
27,67,4,coal,How does coal form?,Many more dead plants sink in the same area.
27,67,5,coal,How does coal form?,The dead plants join together forming peat.
27,67,6,coal,How does coal form?,Sediment covers the peat.
27,67,7,coal,How does coal form?,The peat continues to decompose.
27,67,8,coal,How does coal form?,The peat keeps carbon while eliminating other elements.
27,67,9,coal,How does coal form?,The peat turns into coal after a long time.
28,68,1,coal,How does coal form?,300 millions years ago plants and trees died.
28,68,2,coal,How does coal form?,"The plant and tree remains sank to the bottom of steamy, swampy areas."
28,68,3,coal,How does coal form?,Layer upon layer of remains accumulated.
28,68,4,coal,How does coal form?,"Eventually forming a soggy, dense material called peat."
28,68,5,coal,How does coal form?,"The peat was buried over millions of years by sand, clay, and other mineral material."
28,68,6,coal,How does coal form?,Pressure caused by the wait of the materials squeezed water from the peat.
28,68,7,coal,How does coal form?,With the heat caused by increased burial peat slowly became coal.
29,69,1,coal,How does coal form?,Plants and trees die.
29,69,2,coal,How does coal form?,Dead plants and trees pile up at the bottom of swamps.
29,69,3,coal,How does coal form?,Dead plants and trees form layers called peat.
29,69,4,coal,How does coal form?,Sand and clay cover the peat.
29,69,5,coal,How does coal form?,The sand and clay form sedimentary rocks.
29,69,6,coal,How does coal form?,Pressure caused by sedimentary rocks squeezes water out of the peat.
29,69,7,coal,How does coal form?,Heat changes the material into coal.
30,70,1,flood,What happens during a flood?,There is a lot of rain.
30,70,2,flood,What happens during a flood?,Water levels of a river or lake get higher.
30,70,3,flood,What happens during a flood?,Water builds up on the ground.
30,70,4,flood,What happens during a flood?,Water covers streets.
30,70,5,flood,What happens during a flood?,Water goes into houses.
30,70,6,flood,What happens during a flood?,The rain or other source of water stops.
30,70,7,flood,What happens during a flood?,Water flows into streams.
30,70,8,flood,What happens during a flood?,The rest of the water evaporates.
31,76,1,sedimentary rock,How does sedimentary rock form?,Wind or water breaks small pieces off of a rock.
31,76,2,sedimentary rock,How does sedimentary rock form?,The wind or water deposits tiny rocks.
31,76,3,sedimentary rock,How does sedimentary rock form?,The rocks become known as sediment.
31,76,4,sedimentary rock,How does sedimentary rock form?,The layers of sediment are pressed together by other layers of sediment on top.
31,76,5,sedimentary rock,How does sedimentary rock form?,Minerals from the rocks in the sediment dissolve.
31,76,6,sedimentary rock,How does sedimentary rock form?,Minerals glue the sediment together into a single rock.
32,78,1,sedimentary rock,How does sedimentary rock form?,Wind and water erode rocks.
32,78,2,sedimentary rock,How does sedimentary rock form?,The wind and water pick up sediment that came off the rocks.
32,78,3,sedimentary rock,How does sedimentary rock form?,"Sediment is carried to an area by the wind, water, air, or ice."
32,78,4,sedimentary rock,How does sedimentary rock form?,Sediment is deposited on the same spot many times.
32,78,5,sedimentary rock,How does sedimentary rock form?,The sediment piles on top of other sediment for a long time.
32,78,6,sedimentary rock,How does sedimentary rock form?,The sediment near the bottom is compressed by the weight of newer sediment.
32,78,7,sedimentary rock,How does sedimentary rock form?,The sediment becomes sedimentary rock as it is pushed together by the heavy weight.
33,80,1,mountain,How are mountains formed?,Tectonic plates beneath the earth rub against each other.
33,80,2,mountain,How are mountains formed?,The rocks around the cracks crumble.
33,80,3,mountain,How are mountains formed?,An earth quake happens.
33,80,4,mountain,How are mountains formed?,The force of the earthquake is large.
33,80,5,mountain,How are mountains formed?,Rocks are pushed up out of the earth by the force.
33,80,6,mountain,How are mountains formed?,These rocks become volcanos.
33,80,7,mountain,How are mountains formed?,The volcanos erupt many times.
33,80,8,mountain,How are mountains formed?,The size of the rocky area grows.
33,80,9,mountain,How are mountains formed?,The volcano becomes dormant.
33,80,10,mountain,How are mountains formed?,The volcano and its eruptions become a mountain.
34,99,1,deserts,How are deserts formed?,Rain clouds travel across the sky.
34,99,2,deserts,How are deserts formed?,Rain clouds are stopped or slowed by mountains or wind.
34,99,3,deserts,How are deserts formed?,The rain clouds drop the rain.
34,99,4,deserts,How are deserts formed?,The clouds are no longer raining when or if they reach the other side of the obstacle.
34,99,5,deserts,How are deserts formed?,"On the other side of the mountains or rain, there isn't much rain."
34,99,6,deserts,How are deserts formed?,The area that receives little rain develops a very different ecosystem.
34,99,7,deserts,How are deserts formed?,The area that receives little rain becomes a desert.
35,112,1,photosynthesis,What happens during photosynthesis?,Carbon dioxide enters the leaf through the stomates.
35,112,2,photosynthesis,What happens during photosynthesis?,Water is absorbed by the plant and transported to the leaves.
35,112,3,photosynthesis,What happens during photosynthesis?,Sunlight is captured by the plant.
35,112,4,photosynthesis,What happens during photosynthesis?,Energy in the form of ATP is made from the sun's energy.
35,112,5,photosynthesis,What happens during photosynthesis?,"Carbon dioxide, water, and ATP form sugars via the Calvin cycle."
35,112,6,photosynthesis,What happens during photosynthesis?,Oxygen is given off as a byproduct.
35,112,7,photosynthesis,What happens during photosynthesis?,Oxygen leaves the leaf through the stomates.
35,112,8,photosynthesis,What happens during photosynthesis?,Water is reused or it leaves the leaf.
35,112,9,photosynthesis,What happens during photosynthesis?,The sugars can be used by the plant to make cellulose.
36,113,1,photosynthesis,What happens during photosynthesis?,Chloroplasts in the leaf of the plant traps light from the sun.
36,113,2,photosynthesis,What happens during photosynthesis?,The roots absorb water and minerals from the soil.
36,113,3,photosynthesis,What happens during photosynthesis?,This combination of water and minerals flows from the stem into the leaf.
36,113,4,photosynthesis,What happens during photosynthesis?,Carbon dioxide enters the leaf.
36,113,5,photosynthesis,What happens during photosynthesis?,"Light, water and minerals, and the carbon dioxide all mix together."
36,113,6,photosynthesis,What happens during photosynthesis?,This mixture forms sugar (glucose) which is what the plant eats.
36,113,7,photosynthesis,What happens during photosynthesis?,Oxygen goes out of the leaf through the stomata.
37,115,1,mountain,How are mountains formed?,Tectonic plates smash together.
37,115,2,mountain,How are mountains formed?,The edges of the plates crumple up.
37,115,3,mountain,How are mountains formed?,The ridges are mountain ranges.
37,115,4,mountain,How are mountains formed?,Magma is forced to the surface.
37,115,5,mountain,How are mountains formed?,Magma forms a volcano.
38,116,1,mountain,How are mountains formed?,Movements of tectonic plates causes the creation of volcanoes.
38,116,2,mountain,How are mountains formed?,These volcanoes erupt.
38,116,3,mountain,How are mountains formed?,Volcanic mountains are formed from the eruption.
38,116,4,mountain,How are mountains formed?,Sometimes tectonic plates crash into one another or ride over one another.
38,116,5,mountain,How are mountains formed?,"These plates sometimes fold and buckle, which forms Fold Mountains."
38,116,6,mountain,How are mountains formed?,"Sometimes fault blocks are raised or tilted, and they form Block Mountains."
39,127,1,evaporation,Describe the process of evaporation,"Water is exposed to heat energy, like sunlight."
39,127,2,evaporation,Describe the process of evaporation,The water temperature is raised above 212 degrees fahrenheit.
39,127,3,evaporation,Describe the process of evaporation,The heat breaks down the molecules in the water.
39,127,4,evaporation,Describe the process of evaporation,These molecules escape from the water.
39,127,5,evaporation,Describe the process of evaporation,The water becomes vapor.
39,127,6,evaporation,Describe the process of evaporation,The vapor evaporates into the atmosphere.
40,132,1,lungs,What do lungs do?,You breathe oxygen into your body through the nose or mouth.
40,132,2,lungs,What do lungs do?,The oxygen travels to the lungs through the windpipe.
40,132,3,lungs,What do lungs do?,The air sacs in the lungs send the oxygen into the blood stream.
40,132,4,lungs,What do lungs do?,The carbon dioxide in the blood stream is transferred to the air sacs.
40,132,5,lungs,What do lungs do?,The lungs expel through the nose or mouth back into the environment.
41,135,1,echolocation,How do bats use echolocation?,Bats fly through an area.
41,135,2,echolocation,How do bats use echolocation?,The bat makes sounds with their mouth or nose.
41,135,3,echolocation,How do bats use echolocation?,The sound waves travel away from the bat.
41,135,4,echolocation,How do bats use echolocation?,The sound waves hit objects.
41,135,5,echolocation,How do bats use echolocation?,The sound waves bounce off the objects back towards the bat.
41,135,6,echolocation,How do bats use echolocation?,The bat hears the sound waves echoing off the objects.
41,135,7,echolocation,How do bats use echolocation?,The bat knows where the objects are because of where the sound echoed from.
41,135,8,echolocation,How do bats use echolocation?,The bat doesn't hurt itself by hitting the objects.
42,139,1,lungs,How do the lungs work?,Air enters the nose or mouth and travels through the windpipe into the lungs.
42,139,2,lungs,How do the lungs work?,The lungs have a series of smaller and finer tubes and sacs.
42,139,3,lungs,How do the lungs work?,Air reaches the smallest and finest air sacs called alveoli.
42,139,4,lungs,How do the lungs work?,Oxygen travels from the alveoli into the blood.
42,139,5,lungs,How do the lungs work?,Oxygen-rich blood is carried to the heart.
42,139,6,lungs,How do the lungs work?,Oxygen-rich blood is pumped throughout the body by the heart.
42,139,7,lungs,How do the lungs work?,Cells take in the oxygen rich blood and release carbon dioxide rich blood.
42,139,8,lungs,How do the lungs work?,The carbon dioxide rich blood travels to the lungs.
42,139,9,lungs,How do the lungs work?,Carbon dioxide travels through the throat and is exhaled.
43,140,1,lungs,How do the lungs work?,A person breathes in oxygen.
43,140,2,lungs,How do the lungs work?,The oxygen passes through the bronchial tubes to the lungs.
43,140,3,lungs,How do the lungs work?,The oxygen is moved into the bloodstream.
43,140,4,lungs,How do the lungs work?,Circulates through the body.
43,140,5,lungs,How do the lungs work?,The cells in the body exchange the oxygen with carbon dioxide.
43,140,6,lungs,How do the lungs work?,The bloodstream carries the carbon dioxide back to the lungs.
43,140,7,lungs,How do the lungs work?,The lungs expel the carbon dioxide through the nose and mouth.
44,141,1,lungs,How do the lungs work?,You inhale.
44,141,2,lungs,How do the lungs work?,Your diaphragm moves down.
44,141,3,lungs,How do the lungs work?,Your lungs have more room.
44,141,4,lungs,How do the lungs work?,Your lungs fill with air.
44,141,5,lungs,How do the lungs work?,You exhale.
44,141,6,lungs,How do the lungs work?,Your diaphragm moves back up.
44,141,7,lungs,How do the lungs work?,Carbon dioxide is exhaled.
44,141,8,lungs,How do the lungs work?,You start the process over again.
45,152,1,precipitation,Describe the process of precipitation,Water vapor is in the atmosphere.
45,152,2,precipitation,Describe the process of precipitation,Water vapor is lifted up.
45,152,3,precipitation,Describe the process of precipitation,Lifted vapor cools below dew point.
45,152,4,precipitation,Describe the process of precipitation,Vapor turns into a solid.
45,152,5,precipitation,Describe the process of precipitation,Cloud droplets aggregate into larger sizes.
45,152,6,precipitation,Describe the process of precipitation,Cloud droplets drop from the sky.
46,157,1,recycling,Describe the process of recycling an aluminum can,You place aluminum cans and other products into recycling bins.
46,157,2,recycling,Describe the process of recycling an aluminum can,Your town or a private company collect and transport the aluminum to a recycling facility.
46,157,3,recycling,Describe the process of recycling an aluminum can,The aluminum is sorted and cleaned at the central recycling facility.
46,157,4,recycling,Describe the process of recycling an aluminum can,The aluminum is melted down to remove coatings and inks.
46,157,5,recycling,Describe the process of recycling an aluminum can,The melted aluminum is formed into large formations called ingots.
46,157,6,recycling,Describe the process of recycling an aluminum can,The ingots are transported to another facility and rolled out to make them easier to manipulate.
46,157,7,recycling,Describe the process of recycling an aluminum can,The ingots can now be turned into new aluminum products.
47,158,1,recycling,Describe the process of recycling an aluminum can,Put the aluminum can into a recycle bin.
47,158,2,recycling,Describe the process of recycling an aluminum can,The cans are transported to a facility.
47,158,3,recycling,Describe the process of recycling an aluminum can,The cans are shredded by a machine.
47,158,4,recycling,Describe the process of recycling an aluminum can,The cans are heated to 1400 degrees to melt them.
47,158,5,recycling,Describe the process of recycling an aluminum can,The molten metal is poured into molds.
47,158,6,recycling,Describe the process of recycling an aluminum can,The molds are flattened and rolled into sheets to reuse.
48,159,1,recycling,Describe the process of recycling an aluminum can,Aluminium cans are put into a recycling bin.
48,159,2,recycling,Describe the process of recycling an aluminum can,Aluminium cans are then collected and taken to a treatment plant.
48,159,3,recycling,Describe the process of recycling an aluminum can,At the treatment plant the aluminium is sorted and cleaned.
48,159,4,recycling,Describe the process of recycling an aluminum can,Readied for reprocessing.
48,159,5,recycling,Describe the process of recycling an aluminum can,The aluminum cans go through a re-melt process.
48,159,6,recycling,Describe the process of recycling an aluminum can,Turned into molten aluminium.
48,159,7,recycling,Describe the process of recycling an aluminum can,The molten aluminum is made into large blocks called ingots.
48,159,8,recycling,Describe the process of recycling an aluminum can,The ingots are sent to mills and are rolled out into thin sheets.
48,159,9,recycling,Describe the process of recycling an aluminum can,The rolls are ready to be made into new aluminum products.
49,165,1,stomach,How does the stomach work?,Food leaves the esophagus and enters the stomach.
49,165,2,stomach,How does the stomach work?,The stomach churns the food.
49,165,3,stomach,How does the stomach work?,With the aid of stomach acids.
49,165,4,stomach,How does the stomach work?,The food becomes a thick liquid.
49,165,5,stomach,How does the stomach work?,Is then passed to the small intestine.
50,186,1,mold,How does mold grow on bread?,Bread is exposed to the elements.
50,186,2,mold,How does mold grow on bread?,Bread absorbs water from the air.
50,186,3,mold,How does mold grow on bread?,Bread absorbs warmth from the air.
50,186,4,mold,How does mold grow on bread?,Dust particles with mold spores fall on bread.
50,186,5,mold,How does mold grow on bread?,Mold spores start to consume the bread for energy.
50,186,6,mold,How does mold grow on bread?,Mold colonies grow until they are visible.
51,206,1,muscles,How do muscles work?,Muscles work by expanding and contracting.
