,keys,value
21,add,"{'1060, 5': 'The dishwasher adds detergent.', '1078, 4': 'Adds complimentary nucleotides.', '1148, 6': 'This adds extra electrons, with a negative charge, to that layer.', '1148, 8': 'This all adds up to an electric field at the junction between the silicon layers.', '1265, 5': 'The bird adds softer material to the inside.'}"
22,affect,"{'458, 4': 'The affected rain falls to the earth.', '458, 5': 'The affected rain can harm natural and man-made objects because of its acidic content.', '607, 5': 'PH in soil and water gets affected which can kill plants and animals.'}"
23,affect,"{'290, 2': 'The pollution negatively affects the water quality.', '290, 3': 'The pollution negatively affects the health of plants and animals.', '552, 4': 'Digested food affects the amount of sugar in the blood.'}"
24,aid,"{'552, 3': 'The pancreas releases enzymes to aid digestion.'}"
25,alerting,"{'1207, 2': ""Inflammation is your body's way of alerting you of an injury.""}"
26,allow,"{'1104, 4': 'Fissures allow lava to erupt into volcanoes at the surface.', '1150, 2': 'The top layer are ""doped"" with impurities to allow a negative charge.', '1150, 3': 'The bottom layer are ""doped"" to allow for a positive charge.', '540, 2': 'Diaphragm and other muscles expand to allow room for your lungs to fill.', '665, 4': 'Allow the water vapor to cool.'}"
27,allow,"{'468, 5': 'Allowed to cool.'}"
28,allow,"{'1138, 4': 'The owls keen eyesight allows him to see in the dark.', '1138, 5': 'The owls sensitive hearing allows him to locate hidden prey.', '1150, 4': 'This produces an electric field that allows electrons to flow from negative to positve.', '1150, 8': 'Adding an external circuit allows the exchange to continue.', '1183, 4': 'The filter allows water and mineral ions like fluoride to pass through.'}"
29,alternate,"{'401, 6': 'A solar ""inverter"" changes the direct current to alternating current.', '401, 7': 'Alternating current can be used to power things in your house.'}"
30,alter,"{'605, 5': 'The lack of vegetation alters the surrounding environment.'}"
31,amplify,"{'412, 5': 'Bones in your middle ear amplify the vibrations.'}"
32,appear,"{'1083, 8': 'Pumpkins will appear where the flowers were.', '1084, 5': 'Male flowers appear.', '516, 6': ""The front legs appear and the tadpole's tail shortens."", '52, 1': 'Fault lines appear underground.'}"
33,appear,"{'676, 7': 'The fossil appears on the surface of the ground.'}"
34,apply,"{'1205, 2': 'You apply a bandaid or other covering if needed.', '1290, 6': 'Apply butter, syrup and enjoy.', '706, 7': 'You apply a stamp to the outside of the envelope.'}"
35,be,"{'214, 7': 'There are seeds on the ground in different areas away from the plant.', '290, 7': 'The quality of water gets worse and worse as there are no plants or animals to clean it.', '628, 3': 'There are enzymes for breaking down fats, proteins , and carbohydrates.', '661, 9': 'There are special bacteria that perform this task as well.', '775, 1': 'There are places inside Earth where rock will melt.'}"
36,arrive,"{'574, 2': 'The passenger arrives early at the airport.', '574, 9': 'The plane arrives at the destination.'}"
37,attach,"{'1062, 2': 'Attach a rocket.', '444, 2': 'Little hairs on the bees legs attach to pollen sacs from the stamens of the flowers.'}"
38,attach,"{'254, 4': 'The seeds are eaten by the animal or become attached to the fur.', '254, 6': ""The seeds attached to the animal's fur fall off into a new area."", '369, 3': 'Roots have fibers that are attached to them.', '608, 8': 'The moving pistons are attached via connecting rods to a shaft.', '817, 6': 'Thread is attached and used to stitch the clothing.'}"
39,attach,"{'1204, 5': 'The mRNA attaches itself to the ribosome.  Read more at: http://www.ducksters.com/science/biology/proteins_and_amino_acids.php This text is Copyright    Ducksters. Do not use without permission.', '1260, 3': 'The spider attaches it to objects where it wants to build the web.', '381, 2': ""The virus attaches to the cell's surface."", '618, 4': 'Hemoglobin in red blood cells attaches to the oxygen.'}"
40,attack,"{'382, 3': 'Cells in the body are attacked.'}"
41,attract,"{'369, 4': 'They attract water.', '654, 4': 'The tree starts to attract animals and plants that will grant it more nourishment.'}"
42,attract,"{'1075, 5': 'Positive energy is attracted to the negative energy in the cloud.', '253, 2': 'Animals are attracted to the seeds on the plants.'}"
43,avoid,"{'555, 4': 'Blood sugar must be within a particular range to avoid damaging many organs.'}"
44,bag,"{'631, 1': 'Trash is bagged up.'}"
45,bake,"{'1015, 1': 'To bake a cake you first need to gather your ingredients.'}"
46,baking,"{'1015, 8': 'When a toothpick inserted into the cake comes out clean, the cake is done baking.'}"
47,balance,"{'301, 5': 'Balance your body as you roll on the skateboard.'}"
48,base,"{'429, 10': 'Gas-based nitrogen re-enters the atmosphere.', '429, 9': 'Different bacteria turn nitrogen back into a gas-based form.', '460, 5': 'This carbon-based mixture stays underground for a long time.', '460, 6': 'Humans discover this carbon-based mixture.', '460, 7': ""This carbon-based mixture is brought up to the earth's surface."", '933, 3': 'The water seeps down to a mineral based material.'}"
49,bat,"{'135, 1': 'Bats fly through an area.'}"
50,bear,"{'534, 4': 'Some trees bear fruit.'}"
51,become,"{'68, 7': 'With the heat caused by increased burial peat slowly became coal.'}"
52,become,"{'1004, 5': 'The water will freeze and become ice.', '1094, 2': 'The star does not have enough mass to become a neutron star.', '1104, 6': 'Upheavals in the crust become their own mountains.', '1114, 7': 'The funnels finally become caves.', '1152, 2': 'The atoms become unstable.', '1154, 5': 'The carbon atoms rearrange to become a new substance.', '1158, 10': 'Unused materials passed into large intestine to become fecal matter.', '1169, 1': 'Prophase is the first and longest stage of mitosis. In this stage the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.', '1169, 2': 'In prophase the chromosomes become visible and the centrioles separate and move to opposite poles of the cell.', '1169, 3': 'In metaphase the chromosomes line up across the center of the cell and become connected to the spindle fiber at their centromere.', '1170, 1': 'Prophase, the chromosomes become visible.', '1298, 4': 'Become urine.', '14, 3': 'Water droplets in clouds become rain or snow and fall.', '15, 6': 'The clouds become heavy from all the water.', '211, 2': 'Become bigger drops.', '212, 4': 'Clouds become heavier and larger over time.', '212, 5': 'Clouds eventually become too heavy to stay in the sky.', '221, 5': 'Billions of these droplets come together they become a visible cloud.', '254, 4': 'The seeds are eaten by the animal or become attached to the fur.', '35, 5': 'Cooled magma and lava become igneous rock.', '43, 6': 'The clouds become larger as they are filled with more water.', '446, 3': 'Crystals form and the magma become igneous rocks.', '446, 4': 'The igneous rocks break down into sediment become sedimentary rocks.', '446, 5': 'If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.', '448, 6': 'Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.', '448, 7': 'Metamorphic rocks underground melt to become magma.', '449, 3': 'Crystals form and the magma become igneous rocks.', '449, 5': 'Become sedimentary rocks.', '449, 6': 'If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.', '449, 8': 'Become magma again.', '460, 3': 'The remains of living things eventually become buried underground.', '460, 4': 'More physical pressure is put on the remains of living things as they become further underground.', '472, 6': 'The bones left behind will weather and become buried by sand and soil.', '496, 3': 'The sweat glands become active.', '5, 4': 'The bottom layers of sediment become compacted by pressure.', '514, 3': 'The snow starts to become packed very firmly.', '526, 2': 'Babies become infants.', '526, 3': 'Infants become children.', '526, 5': 'Children become teenagers.', '526, 7': 'Teenagers become adults.', '526, 9': 'Adults become elderly.', '528, 5': 'The newborn rabbits grow up to become adults.', '529, 5': 'Rabbits quickly become able to have babies of their own.', '530, 8': 'The seeds become new plants.', '543, 4': 'The waste that is collected combines with water to become urine.', '56, 8': 'The ice crystals become snowflakes.', '57, 5': 'Ice crystals in clouds stick together and become snowflakes.', '589, 8': 'UNDERGOES METAMORPHOSIS TO BECOME BUTTERFLY.', '61, 2': 'The sediments become glued together.', '61, 3': 'The glued together parts become hard like cement.', '61, 7': 'The rocks become smaller rocks.', '640, 5': 'Fry become adult fish.', '647, 4': 'The flowers become fertilized.', '649, 7': 'Become nourishment for other plants.', '653, 5': 'The flowers become fruit.', '689, 3': 'The seeds start to grow and become seedlings.', '695, 6': 'When water ends up on land, it will either soak into the earth and become part of the ""ground water"" for animals or plants to drink.', '696, 4': 'The clouds become heavy with water droplets.', '702, 6': 'The earth may become warmer this way.', '76, 3': 'The rocks become known as sediment.', '782, 7': 'The seeds become plants.', '80, 10': 'The volcano and its eruptions become a mountain.', '80, 6': 'These rocks become volcanos.', '880, 4': 'The clouds become too heavy and it starts to fall.', '949, 5': 'The clouds become too heaavy.'}"
53,become,"{'1005, 5': 'The water becomes ice.', '1007, 6': 'The plant becomes one with the soil.', '1028, 4': 'The oil becomes a fine mist mixed with air.', '1030, 4': 'Here the oil becomes a fine mist mixed with air.', '1031, 4': 'The sediment becomes rock.', '1031, 5': 'The rock becomes a fossil.', '1075, 3': 'The cloud becomes a thundercloud.', '1094, 4': 'The star becomes a red giant.', '1094, 6': 'The star sheds its outside layers and becomes a nebula.', '1094, 7': 'The star leaves behind the core which becomes a dwarf star.', '1095, 3': 'Becomes a red giant.', '1113, 4': 'The water becomes a weak acid.', '1130, 2': 'Bees will begin to chew max until it becomes softened.', '1219, 4': 'The soil becomes more fertile.', '1240, 6': 'The gas condenses in the condenser and becomes a liquid again.', '1258, 7': 'The gravity becomes so powerful that nothing can escape it.', '127, 5': 'The water becomes vapor.', '1293, 10': 'The water passes through the grounds and becomes coffee.', '1314, 4': 'The tree becomes a sapling when it gets taller than 3 ft.', '165, 4': 'The food becomes a thick liquid.', '22, 6': 'The stream becomes a river.', '34, 7': 'The magma or lava becomes a hard rock as it solidifies.', '35, 3': 'Magma goes to the surface and becomes lava.', '375, 2': 'Some electricity becomes light.', '375, 3': 'Some light becomes heat when it hits something.', '375, 4': 'Some electricity becomes motion in a hard drive, dvd drive or fan.', '375, 5': 'Motion energy also becomes heat.', '4, 10': 'More chemical changes happen and the buried material becomes oil.', '445, 2': 'The magma cools and becomes a rock.', '465, 6': 'The hail becomes too large to be pushed up by the wind.', '466, 3': 'The salt becomes seperated from the water.', '468, 2': 'As the saltwater is heated the water becomes a gas.', '5, 7': 'The material becomes a liquid.', '509, 5': 'Chemical energy becomes thermal energy.', '514, 4': ""The snow becomes something that's more like ice."", '514, 6': 'The mass becomes solid and heavy enough to be called a glacier.', '519, 5': 'The larvae becomes an ""adolescent"" fish (or fry).', '524, 5': 'The adolescent becomes an adult.', '524, 6': 'An adult becomes an elderly person.', '525, 8': 'At 18 the human becomes an adult.', '528, 2': 'The female rabbit becomes pregnant.', '531, 2': 'The seed becomes a seeding and grows with water.', '531, 5': 'Becomes a flower.', '533, 4': 'It grows bigger and becomes a sapling, a juvenile tree.', '534, 2': 'The seed becomes a small tree.', '534, 3': 'The small tree becomes larger and grows.', '61, 4': 'The sediment becomes a big rock.', '611, 5': 'The bacteria is either fought off or becomes a disease.', '641, 4': 'The tadpole becomes a frog.', '642, 6': 'Then the tadpole becomes a froglet.', '642, 7': 'Then the froglet becomes a frog.', '643, 6': 'And the tadpole now becomes a frog.', '645, 4': 'The zygote becomes an embryo.', '645, 5': 'The embryo becomes a fetus.', '645, 9': 'The child becomes an adult.', '648, 2': 'It becomes a seedling.', '652, 2': 'The female becomes pregnant.', '653, 2': 'It becomes a seedling.', '656, 4': 'The caterpillar becomes a pupa.', '698, 5': 'Becomes material for other products.', '708, 6': 'When sediment is compressed it becomes metamorphic rock.', '747, 4': 'The space in the rock becomes larger and forms into a cave.', '747, 5': 'As more rather rushes through the cave becomes a cavern.', '78, 7': 'The sediment becomes sedimentary rock as it is pushed together by the heavy weight.', '80, 9': 'The volcano becomes dormant.', '880, 1': 'Water evaporates and becomes gaseous.', '880, 3': 'And the rain becomes clouds in the atmosphere.', '880, 5': 'It becomes rain.', '892, 1': 'Water in the clouds becomes very cold.', '908, 1': 'When water freezes it becomes 10% bigger, or takes up 10% more space.', '916, 1': 'Sediment becomes loose from the rest of the soil.', '922, 8': 'Results in an explosive eruption when the pressure becomes too intense.', '927, 3': 'The ground becomes saturated with rain water and cannot absorb anymore.', '933, 2': 'The water becomes acidic.', '949, 4': 'The vapor becomes clouds.', '977, 6': 'The polluted rain becomes acid rain.', '99, 7': 'The area that receives little rain becomes a desert.'}"
54,become,"{'446, 6': 'The metaphoric rocks melt becoming magma again.', '448, 5': 'Minerals fill in the gaps in the sediment eventuality becoming sedimentary rocks.', '654, 6': 'After a number of years the tree will grow old and die, becoming material for new growth.'}"
55,begin,"{'1005, 4': 'The water molecules begin to slow down.', '1061, 5': 'You begin the countdown date for the rocket.', '1064, 4': 'The spores begin to grow mycelium.', '1064, 5': 'The mycelium begin to sprout a bud.', '1091, 1': 'Begin the party.', '1130, 2': 'Bees will begin to chew max until it becomes softened.', '1146, 7': 'The helium atoms begin to combine into carbon atoms.', '1207, 5': ""It's time to begin regrowing damaged skin which is called reepithelialization."", '1218, 5': 'And more organisms begin to thrive.', '298, 3': 'The dividing bacteria begin to make toxins.', '298, 5': 'Disease symptoms may begin.', '318, 2': 'The plant roots begin to grow.', '436, 5': 'Begin to observe small bubbles in the water.', '443, 6': 'Will begin to develop seeds and fruit.', '472, 1': 'The organism must die to begin the process.', '517, 4': 'The hind legs begin to form at 8 weeks.', '533, 6': 'The tree will begin to age and decline.', '626, 6': 'The enzymes begin producing again.'}"
56,beginning,"{'522, 9': 'The next year they breed beginning the cycle again.'}"
57,begin,"{'1147, 3': 'The star begins to collapse.', '1158, 1': 'An enzyme in saliva begins to break down carbohydrates.', '1207, 4': 'The body then begins the process of rebuilding tissue and is called angiogenesis.', '298, 2': 'That bacteria begins to grow and reproduce inside the cells.', '315, 5': 'Erosion begins.', '316, 6': ""The wood begins to lose it's luster."", '316, 7': 'It begins to look bad.', '411, 1': 'Visual perception begins as soon as the eye focuses light onto the retina, where it is absorbed by a layer of photoreceptor cells.', '446, 1': 'Rock begins as magma from a volcano.', '448, 10': 'Igneous rock begins being weathered and eroded by water and wind.', '449, 1': 'Rock begins as magma from a volcano.', '476, 5': 'The earth begins to heat because of the extra trapped energy.', '499, 5': 'The lamp in the flashlight begins to glow.', '516, 4': 'The tadpole begins storing food in the tail.', '525, 5': 'Begins to grow and develop through infancy and childhood.', '552, 2': 'Food begins to be processed by the digestive system.', '589, 5': 'IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.', '635, 3': 'The baby bird begins pecking out of the egg.', '637, 5': 'Begins to learn how to fly.', '641, 7': 'The cycle begins again.', '648, 7': 'The cycle begins again.', '658, 5': 'The caterpillar in the chrysalis begins change, a process called mmetaphorphosis.', '697, 5': 'It begins to rain on areas below the clouds.', '808, 4': 'The water begins to get colder until it starts to freeze solid.', '828, 3': 'The tank of water begins to boil above the oven.', '852, 8': 'The water returns to the boiler, and the cycle begins again.', '927, 4': 'Water begins flowing above the ground instead of dropping into the soil.'}"
58,believe,"{'693, 2': 'Some scientists believe that releasing too much carbon dioxide into the atmosphere is one of the causes of global warming.'}"
59,bend,"{'286, 5': 'Bend the tray slightly to get the ice cubes out and into a drink.'}"
60,benefit,"{'607, 4': ""Washes them away so plants can't benefit from them.""}"
61,bind,"{'1202, 4': 'TMRNA molecules bind with the ribosome in a sequence defined by the mRNA code.', '1203, 4': 'Ribosomes bind the new DNA molecules.', '617, 7': 'The red blood cells bind the oxygen via a protein called heme.'}"
62,bind,"{'619, 3': 'The oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).'}"
63,block,"{'511, 4': 'The sun is totally blocked.'}"
64,blow,"{'1091, 5': 'Blow out the candles.', '1240, 1': ""Fans blow air onto the evaporator's coils."", '693, 7': 'The wind can blow these gasses for miles and then they get washed out of the air when it rains.', '782, 2': 'The wind is able to blow the seeds off of the plants.'}"
65,blow,"{'1080, 6': 'The steam from the water is blown against a turning mechanism.', '392, 2': 'The coal powder is mixed with hot air and blown into the firebox of the boiler.', '960, 4': 'The coal and hot air are blown into a boiler.'}"
66,board,"{'574, 7': ""The passenger gets in line when it's time to board.""}"
67,board,"{'574, 8': 'The person boards the plane.'}"
68,boil,"{'665, 1': 'Boil salt water.', '828, 3': 'The tank of water begins to boil above the oven.'}"
69,boil,"{'394, 2': 'Water is boiled to make steam.', '466, 2': 'The water is boiled to a very high tempature.'}"
70,boil,"{'828, 4': 'A the water boils steam is created.'}"
71,bear,"{'524, 2': 'They are born and are a baby.', '525, 4': 'The fetus is born.', '526, 1': 'Humans are born as babies.', '529, 1': 'Baby rabbits are born alive.', '589, 5': 'IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.', '643, 1': ""The frog's egg hatches and a tadpole is born."", '656, 1': 'A larva is born.', '656, 6': 'And a butterfly is born.'}"
72,bottle,"{'424, 5': 'The oil is bottled.', '424, 6': 'The bottled oil is delivered to gas stations by trucks.'}"
73,bounce,"{'135, 5': 'The sound waves bounce off the objects back towards the bat.', '349, 5': 'Some of the sound waves bounce off of the object.', '349, 7': 'The sound continues to bounce off of things and produce echoes until it is totally absorbed or dissipated.'}"
74,bounce,"{'1333, 4': 'Microwaves bounces off the metal walls of the food compartment.', '232, 3': 'The sound ""bounces"" off of a nearby object.', '877, 4': 'Wind in the cloud bounces the water droplets around.'}"
75,break,"{'1007, 3': 'The microbes break down the material.', '1008, 4': 'The enzymes break down the plant cells to simpler components.', '1077, 2': 'Chemicals in the strand break up the helix.', '1096, 6': 'The layers break away.', '1155, 5': 'The molecules break up into shorter and lighter molecules composed almost solely of carbon and hydrogen atoms.', '1158, 1': 'An enzyme in saliva begins to break down carbohydrates.', '1158, 3': 'Acid and enzyme in the stomach break the food down.', '1158, 7': 'Help break food into smallest molecules.', '1189, 1': 'Chunks of rocks break off of meteorites.', '1197, 4': 'Enzymes in the stomach break down the food.', '1226, 3': 'Some of the enzymes break down fat.', '249, 1': 'Chemical reactions break down the bonds holding the rocks together.', '315, 2': 'The roots of the growing plants start to break up the rock.', '317, 5': 'The rocks slowly break down.', '318, 3': 'Break apart the rock.', '446, 4': 'The igneous rocks break down into sediment become sedimentary rocks.', '449, 4': 'The igneous rocks break down into sediment.', '480, 2': 'The energy from the sunlight causes an enzyme in the plant to break apart the water.', '489, 8': 'The small intestine uses enzymes to further break down the food.', '52, 5': 'The rocks break from the pressure.', '905, 4': 'Strong muscles in the walls of the stomach and gastric juices break down food in your stomach.', '908, 5': 'This causes rock to break apart.'}"
76,breaking,"{'489, 3': 'Saliva mixes with the food and starts breaking it down.', '628, 3': 'There are enzymes for breaking down fats, proteins , and carbohydrates.'}"
77,break,"{'1049, 4': 'Some of the water breaks down into hydrogen and oxygen.', '1226, 4': 'It breaks down carbohydrates.', '127, 3': 'The heat breaks down the molecules in the water.', '1314, 1': 'The primary root breaks from the seed.', '1314, 3': 'The shoot breaks through the soil as a seedling.', '20, 2': 'The sediment breaks down into small particles.', '294, 3': 'Breaks down into glucose.', '490, 5': 'Acid in the stomach breaks the food down further.', '5, 3': 'The sediment breaks down.', '517, 2': 'The tadpole breaks free.', '551, 5': 'The pancreas breaks down carbs.', '708, 3': 'Erosion breaks them down to sediment.', '76, 1': 'Wind or water breaks small pieces off of a rock.', '905, 1': 'The saliva breaks down the chemicals in the food a bit, which helps make the food mushy and easy to swallow.', '919, 3': 'When the force is large enough, the crust breaks.', '935, 3': 'Ocean water breaks rocks off of cliffs.'}"
78,breathe,"{'132, 1': 'You breathe oxygen into your body through the nose or mouth.', '256, 1': 'You breathe in through your nose or mouth.', '256, 8': 'You breathe out and expel the carbon dioxide from your lungs.', '540, 1': 'You breathe in.', '770, 1': 'You breathe air in.', '795, 1': 'You breathe in.', '795, 6': 'You breathe it out through your lungs.', '925, 1': 'He air we breathe contains oxygen and other gases.', '996, 1': 'People breathe and expel carbon dioxide.'}"
79,breathe,"{'140, 1': 'A person breathes in oxygen.'}"
80,breed,"{'522, 9': 'The next year they breed beginning the cycle again.'}"
81,bring,"{'1016, 4': 'Always bring a jacket or two.', '1016, 5': 'Always bring one semi-formal outfit for a nice dinner.', '1091, 3': 'Bring out the cake.', '1190, 1': 'Two large veins bring blood to the heart.', '1293, 7': 'Sometimes a bit of salt is added to the grounds to bring out flavor.', '377, 8': 'Blood can bring the oxygen to different cells in the body.', '796, 5': 'The lungs bring the oxygen to the rest of the body.'}"
82,bring,"{'794, 7': 'Blood brings carbon dioxide back to lungs.'}"
83,broken,"{'1078, 2': 'The hydrogen bonds that hold together a strand of DNA are broken.', '1226, 5': 'The broken down food can be passed.', '313, 4': 'The rock eventually is broken apart by this contact.', '315, 4': 'The rock is broken down into smaller pieces.', '318, 5': 'The rocks are broken into more and more pieces.', '499, 9': 'The circuit is broken.', '555, 2': 'The food is broken down.', '708, 1': 'Rocks are constantly worn down and broken by erosion.', '769, 3': 'The sunlight is broken down into glucose through photosynthesis.', '846, 2': 'Proteins and acids are broken down in the liver.', '882, 5': 'The items are broken down into small parts.', '961, 2': 'The coal is broken down to a smaller material.'}"
84,bring,"{'1303, 1': 'Food or milk that could spoil easily is brought in.', '460, 7': ""This carbon-based mixture is brought up to the earth's surface."", '796, 1': 'Air is brought in through the mouth.', '825, 3': 'Uranium is brought to nuclear power plants.'}"
85,brush,"{'313, 3': 'The particles continue to hit, brush against, or grow against the rocks.'}"
86,brush,"{'443, 4': 'The pollen that was stuck to the bee gets brushed onto the pistil of the flower.'}"
87,brush,"{'254, 3': ""Eats from the plant or brushes the plant with the animal's fur.""}"
88,bubble,"{'436, 6': 'Wait until the water starts to bubble a lot.'}"
89,bubble,"{'931, 2': 'Gas bubbles form and expand, causing lots of pressure.'}"
90,build,"{'1062, 1': 'Build a satellite.', '1131, 5': 'Bees produce all of the building blocks to build their hive in their own body.', '1260, 3': 'The spider attaches it to objects where it wants to build the web.', '636, 6': 'The pair build a nest.'}"
91,build,"{'1032, 5': 'Sediment builds up over the remains over a period of time.', '1063, 4': 'A crew builds the physical satellite.', '1075, 4': 'Electrostatic energy builds and forms a strong negative charge.', '1086, 5': 'One builds a fire for warmth, cooking, etc.', '1094, 5': 'A mass of carbon and oxygen builds up in the center of the star.', '1154, 3': 'Pressure builds over time.', '229, 3': 'The water builds up behind the dam.', '364, 6': 'Nitrogen builds up.', '37, 4': 'Over time sediment builds over the top and hardens into rock.', '4, 5': 'Pressure builds up.', '493, 2': 'The animal finds or builds a suitable place to hibernate where they can stay warm and protected.', '514, 2': 'The snow builds up for a very long time.', '542, 1': 'Waste builds up in the blood.', '58, 3': 'Water builds up on the ground.', '675, 2': 'Sediment builds up over the remains.', '70, 3': 'Water builds up on the ground.', '725, 3': 'Over time sediment builds over the top and hardens into rock.', '917, 1': 'Energy builds up in the crust of the earth.', '920, 4': 'With enough time the pressure builds up greatly.', '921, 5': 'After several eruptions, the rock builds up and a volcano forms.', '922, 4': 'Pressure builds in the magma chambers as they fill.'}"
92,build,"{'229, 1': 'A dam is built in an area prone to flooding.', '48, 6': 'The volcano loses the built up pressure.'}"
